module_accession	pathway_name	pathway_class	matching_ko	missing_ko	BCMy_011_trim_nohost	BCMy_021_trim_nohost	BCMy_031_trim_nohost	BCMy_041_trim_nohost	BCMy_071_trim_nohost	BCMy_081_trim_nohost	BCMy_091_trim_nohost	BCMy_121_trim_nohost	BCMy_131_trim_nohost	BCMy_151_trim_nohost	BCMy_181_trim_nohost	BCMy_211_trim_nohost
M00002	Glycolysis, core module involving three-carbon compounds	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00134,K00873,K00927,K01689,K01803,K01834	K01689	100	100	100	100	80	60	80	70	100	100	30	100
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00033,K00036,K00615,K00616,K01057,K01783,K01807,K01810	K00616,K01807,K01810	100	100	100	100	66.67	41.67	58.33	91.67	100	100	33.33	100
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00615,K00616,K01783,K01807	K00616,K01807	100	100	100	100	50	50	100	100	100	100	25	100
M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00040,K00874,K01625,K01686,K01812	K00040,K01625,K01686,K01812	100	100	100	100	20	40	40	80	100	100	20	100
M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K03737	K00169,K00171,K00172	100	100	100	100	100	25	100	100	100	100	100	100
M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00820,K00845,K01810,K03431,K04042	K00845,K01810	100	100	100	100	60	40	60	100	100	100	20	100
M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K00609,K00762,K01465,K01591,K01955,K01956,K17828	K00610	94.44	94.44	94.44	94.44	61.11	83.33	66.67	61.11	94.44	94.44	50	100
M00003	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00134,K00927,K01610,K01689,K01803,K01834,K03841	K01623	92.86	85.71	85.71	85.71	64.29	28.57	78.57	64.29	78.57	85.71	35.71	85.71
M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00134,K00845,K00850,K00873,K00927,K01689,K01803,K01810,K01834	K01623	88.89	100	100	100	44.44	55.56	66.67	83.33	100	100	50	100
M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K00133,K00215,K00928,K01586,K01714	K03340	83.33	83.33	50	83.33	50	16.67	33.33	66.67	16.67	66.67	16.67	66.67
M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K00133,K00215,K00821,K00928,K01439,K01586,K01714	K00674,K01778	77.78	100	55.56	100	55.56	22.22	33.33	66.67	55.56	88.89	33.33	88.89
M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K00133,K00215,K00841,K00928,K01586,K01714,K05823	K01778,K05822	77.78	88.89	44.44	66.67	44.44	33.33	33.33	44.44	22.22	55.56	33.33	55.56
M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Pathway modules; Nucleotide metabolism; Purine metabolism	K00939,K01756,K01939	K00940	75	100	75	100	50	25	25	50	75	100	25	75
M00083	Fatty acid biosynthesis, elongation	Pathway modules; Lipid metabolism; Fatty acid metabolism	K00059,K02371,K09458	K02372	75	100	100	100	100	100	50	100	100	100	25	100
M00157	F-type ATPase, prokaryotes and chloroplasts	Pathway modules; Energy metabolism; ATP synthesis	K02108,K02109,K02110,K02112,K02113,K02114	K02111,K02115	75	100	100	100	50	37.5	37.5	75	100	100	37.5	100
M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00134,K00874,K00927,K01625	K05308	75	75	75	75	50	25	50	37.5	75	75	12.5	75
M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K00133,K00215,K00928,K01586,K01714	K01778,K10206	71.43	100	57.14	100	42.86	28.57	42.86	71.43	42.86	85.71	28.57	85.71
M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00845,K01835	K00963	66.67	100	100	100	33.33	33.33	66.67	66.67	100	100	33.33	100
M00793	dTDP-L-rhamnose biosynthesis	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	K00973,K01710	K23987	66.67	100	100	100	50	83.33	33.33	66.67	100	100	66.67	100
M00958	Adenine ribonucleotide degradation, AMP => Urate	Pathway modules; Nucleotide metabolism; Purine metabolism	K01081,K05810	K00106	66.67	66.67	66.67	66.67	16.67	33.33	16.67	50	66.67	66.67	33.33	77.78
M00165	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules; Energy metabolism; Carbon fixation	K00134,K00615,K00927,K01783,K01803,K01807,K03841	K00855,K01100,K01601,K01623	63.64	81.82	90.91	81.82	54.55	27.27	63.64	54.55	72.73	81.82	18.18	81.82
M00048	De novo purine biosynthesis, PRPP + glutamine => IMP	Pathway modules; Nucleotide metabolism; Purine metabolism	K00764,K01756,K01933,K01945,K01952	K00601,K00602,K01923	62.5	100	100	100	25	50	50	93.75	100	100	78.12	100
M00938	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K00525,K00526,K00560,K01520	K00940,K00943	60	100	80	100	20	60	40	70	80	100	20	80
M00017	Methionine biosynthesis, aspartate => homoserine => methionine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00133,K00549,K00928,K14155	K00003,K00651,K01739	57.14	100	57.14	100	71.43	57.14	42.86	71.43	71.43	100	14.29	85.71
M00034	Methionine salvage pathway	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00772,K00789,K00797,K00832	K01611,K08963,K08967,K16054	50	62.5	37.5	62.5	25	31.25	12.5	31.25	37.5	62.5	37.5	50
M00035	Methionine degradation	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00789,K01251	K00552,K01697	50	100	50	100	25	25	75	75	50	100	50	75
M00050	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	Pathway modules; Nucleotide metabolism; Purine metabolism	K00088,K01951	K00940,K00942	50	100	75	100	25	25	50	25	75	100	50	75
M00082	Fatty acid biosynthesis, initiation	Pathway modules; Lipid metabolism; Fatty acid metabolism	K00648,K01962,K01963	K00645,K01961,K02160	50	100	100	100	87.5	25	75	87.5	100	100	50	100
M00892	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00820,K00845,K01810	K00621,K00972,K01836	50	50	50	50	16.67	16.67	33.33	50	50	50	16.67	50
M00978	Ornithine-ammonia cycle	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K01915,K01940,K01955,K01956	K00611,K01755,K27542	50	83.33	50	83.33	50	41.67	66.67	83.33	50	83.33	33.33	83.33
M00026	Histidine biosynthesis, PRPP => histidine	Pathway modules; Amino acid metabolism; Histidine metabolism	K01496,K01523,K01814,K02500,K02502	K00013,K00765,K00817,K01089,K02501	41.67	100	33.33	100	50	25	55.56	30.56	55.56	91.67	16.67	100
M00018	Threonine biosynthesis, aspartate => homoserine => threonine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00133,K00928	K00003,K00872,K01733	40	100	20	100	80	60	20	100	80	100	20	60
M00029	Urea cycle	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K01476,K01940	K00611,K01755,K01948	40	60	20	60	40	60	40	80	20	60	20	80
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	Pathway modules; Energy metabolism; Carbon fixation	K00031,K00175,K00239,K01958,K03737	K00024,K00174,K00240,K01676,K01681,K01902,K01903,K15230,K15231	40	50	35	35	50	27.5	55	35	50	40	30	60
M00550	Ascorbate degradation, ascorbate => D-xylulose-5P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K02821,K02822,K03079,K03475	K03077,K03078,K03476	40	60	73.33	40	33.33	20	6.67	13.33	40	40	6.67	40
M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00134,K00927	K00883,K01631,K01684	40	40	40	40	40	20	40	20	40	40	20	40
M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00166,K00249,K00826	K00167,K00382,K01640,K01968,K01969,K05607,K09699	36.11	63.89	30.56	52.78	5.56	16.67	16.67	22.22	36.11	47.22	16.67	47.22
M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00059,K09458	K00208,K02169,K02170,K02372	33.33	100	100	100	33.33	66.67	16.67	66.67	66.67	100	16.67	100
M00844	Arginine biosynthesis, ornithine => arginine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K01940	K00611,K01755	33.33	100	33.33	100	66.67	66.67	66.67	100	33.33	100	33.33	100
M00855	Glycogen degradation, glycogen => glucose-6P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01835	K00688,K01196	33.33	66.67	66.67	66.67	100	50	33.33	66.67	83.33	66.67	66.67	83.33
M00014	Glucuronate pathway (uronate pathway)	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00008,K00854	K00002,K00012,K03331,K12447,K13247,K16190	28.57	42.86	28.57	42.86	14.29	28.57	21.43	28.57	28.57	28.57	14.29	28.57
M00914	Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00077,K13038	K00606,K02201,K06982,K09722,K09735	28.57	28.57	14.29	28.57	28.57	14.29	14.29	14.29	28.57	28.57	42.86	14.29
M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K01662,K01823	K00099,K00919,K00991,K01770,K03526,K03527	25	100	50	100	50	50	25	37.5	75	100	25	100
M00344	Formaldehyde assimilation, xylulose monophosphate pathway	Pathway modules; Energy metabolism; Methane metabolism	K03841	K00863,K01624,K17100	25	25	25	25	25	25	25	25	25	25	25	25
M00725	Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon	Signature modules; Gene set; Drug resistance	K03367,K03739,K03740	K14188,K19077,K19078	25	33.33	33.33	66.67	8.33	8.33	16.67	8.33	66.67	33.33	8.33	66.67
M00009	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00031,K00164,K00239,K00658	K00026,K00240,K00241,K00382,K01647,K01676,K01681,K01902,K01903	22.92	70.83	38.54	66.67	67.71	22.92	54.17	43.75	63.54	54.17	19.79	83.33
M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00077,K00826	K00606,K01579,K01918	22.22	55.56	11.11	55.56	11.11	22.22	11.11	11.11	22.22	55.56	22.22	44.44
M00121	Heme biosynthesis, plants and bacteria, glutamate => heme	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01749,K01885	K00228,K00230,K01599,K01698,K01719,K01772,K01845,K02492	20	80	30	80	30	20	10	30	30	70	10	60
M00357	Methanogenesis, acetate => methane	Pathway modules; Energy metabolism; Methane metabolism	K00625,K00925	K00193,K00194,K00197,K00399,K00401,K00402,K00577,K00578,K00579,K00580,K00581,K00584,K22480,K22481,K22482	20	20	20	20	10	26.67	20	33.33	20	20	20	26.67
M00957	Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA	Pathway modules; Amino acid metabolism; Lysine metabolism	K00135	K00468,K01506,K14268,K15736,K15737	20	24	4	24	20	20	4	4	24	32	4	24
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00164,K00239,K00658	K00026,K00240,K00241,K00382,K01676,K01902,K01903	16.67	53.33	41.67	46.67	68.33	36.67	46.67	10	81.67	46.67	11.67	73.33
M00374	Dicarboxylate-hydroxybutyrate cycle	Pathway modules; Energy metabolism; Carbon fixation	K00239,K01595	K00024,K00169,K00170,K00171,K00172,K00240,K00626,K01007,K01677,K01678,K01902,K01903,K14465,K14467,K14534,K15016,K15038	11.54	25	7.69	15.38	23.08	9.62	28.85	7.69	25	15.38	11.54	26.92
M00376	3-Hydroxypropionate bi-cycle	Pathway modules; Energy metabolism; Carbon fixation	K00239,K01962,K01963	K00240,K00241,K01679,K01847,K01961,K02160,K05606,K08691,K09709,K14449,K14468,K14469,K14470,K14471,K14472,K15052	4.63	14.81	11.11	11.11	13.43	10.19	2.78	9.72	16.67	11.11	7.41	20.37
M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00052,K01649,K01703,K01704	K00052,K01649,K01703	0	100	16.67	100	50	33.33	33.33	33.33	33.33	100	33.33	100
M00975	Betaine degradation, bacteria, betaine => pyruvate	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00600,K01752	K00301,K00309,K00479,K21832	0	50	50	53.12	50	25	25	25	50	50	28.12	50
M00854	Glycogen biosynthesis, glucose-1P => glycogen/starch	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00963,K16150	K00975	0	100	100	100	75	50	25	100	100	100	75	100
M00565	Trehalose biosynthesis, D-glucose 1P => trehalose	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00703,K00975	K00700,K01214,K01236,K06044	0	33.33	50	50	33.33	33.33	16.67	50	50	33.33	33.33	33.33
M00169	CAM (Crassulacean acid metabolism), light	Pathway modules; Energy metabolism; Carbon fixation	K00029	K01006	50	50	0	50	50	50	50	50	50	50	50	50
M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	Pathway modules; Energy metabolism; Carbon fixation	K00029,K01595	K00051,K01006	50	50	0	50	50	50	25	25	25	50	25	50
M00033	Ectoine biosynthesis, aspartate => ectoine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00133,K00928	K00836,K06718,K06720	40	40	0	40	40	20	20	40	20	40	20	20
M00345	Formaldehyde assimilation, ribulose monophosphate pathway	Pathway modules; Energy metabolism; Methane metabolism	K00850	K01624,K08093,K08094	33.33	66.67	66.67	66.67	0	33.33	33.33	66.67	66.67	66.67	66.67	66.67
M00609	Cysteine biosynthesis, methionine => cysteine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00789,K01243	K07173,K17216,K17217,K17462	33.33	50	50	50	0	16.67	16.67	33.33	50	50	16.67	50
M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00826,K01652,K01687	K00053,K01653,K17989	50	90	50	100	0	20	70	40	20	90	40	90
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00826,K01652,K01687	K00053,K01653	62.5	87.5	37.5	100	0	25	87.5	50	25	87.5	25	87.5
M00364	C10-C20 isoprenoid biosynthesis, bacteria	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K01823	K00795	50	100	100	100	50	0	50	50	100	100	50	100
M00366	C10-C20 isoprenoid biosynthesis, plants	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K01823	K00787,K13789,K14066	25	50	50	50	25	0	25	25	50	50	25	50
M00120	Coenzyme A biosynthesis, pantothenate => CoA	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00859,K00867,K00954,K13038	K00859,K00867	100	100	100	100	50	0	33.33	50	100	100	33.33	100
M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	Pathway modules; Energy metabolism; Carbon fixation	K00625,K00925	K00625	100	100	100	100	50	0	50	100	100	100	100	100
M00849	C5 isoprenoid biosynthesis, mevalonate pathway, archaea	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K00869,K01641,K01823	K00021,K00626,K03186,K06981,K09128,K25517,K25518	41.67	75	75	75	16.67	0	50	35.42	75	75	58.33	75
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00031	K01647,K01681	33.33	100	33.33	100	66.67	0	66.67	100	33.33	66.67	33.33	100
M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K01937	K00940,K13800	33.33	100	66.67	100	33.33	0	33.33	66.67	66.67	100	66.67	66.67
M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	Pathway modules; Lipid metabolism; Lipid metabolism	K01641	K00019,K00626,K01574,K01640	11.11	33.33	22.22	22.22	11.11	0	11.11	11.11	22.22	22.22	11.11	22.22
M00095	C5 isoprenoid biosynthesis, mevalonate pathway	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K00869,K01597,K01641,K01823	K00021,K00626,K00938	57.14	85.71	85.71	100	14.29	0	28.57	14.29	100	85.71	57.14	85.71
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	K00014,K00891,K01735,K03856	K00800,K01736,K03785	56.25	100	100	100	62.5	0	50	75	100	100	12.5	100
M00012	Glyoxylate cycle	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01647,K01681	K00026,K01637,K01638	0	40	20	40	40	0	40	40	40	40	20	40
M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	Pathway modules; Lipid metabolism; Lipid metabolism	K00981	K00998,K01613	33.33	100	33.33	100	0	0	33.33	66.67	33.33	100	66.67	100
M00373	Ethylmalonyl pathway	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00626,K01965	K00023,K01847,K01966,K05606,K08691,K14446,K14447,K14448,K14449,K14451,K17865	0	13.89	5.56	13.89	8.33	0	5.56	22.22	13.89	19.44	5.56	13.89
M00368	Ethylene biosynthesis, methionine => ethylene	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00789	K01762,K05933	33.33	33.33	33.33	33.33	0	0	33.33	33.33	33.33	33.33	33.33	33.33
M00953	Mugineic acid biosynthesis, methionine => 3-epihydroxymugineic acid	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds	K00789	K05953,K14271,K18054,K22374	20	20	20	20	0	0	20	20	20	20	20	20
M00375	Hydroxypropionate-hydroxybutylate cycle	Pathway modules; Energy metabolism; Carbon fixation	K00626	K01848,K01849,K01964,K05606,K14465,K14466,K14534,K15016,K15017,K15018,K15019,K15020,K15036,K15037,K15038,K15039	0	7.14	7.14	7.14	0	0	7.14	7.14	7.14	7.14	7.14	7.14
M00005	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00948	NA	100	100	100	100	100	100	0	100	100	100	100	100
M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00033,K00036,K01057	K00033,K00036	100	100	100	100	100	25	0	75	100	100	50	100
M00841	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01495,K11754	K13941,K13998,K22101	40	40	40	80	20	20	0	20	40	40	20	40
M00925	Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K02229,K02230,K05936,K09882	K00595,K02224,K02228,K02303,K03394,K05895,K05934,K06042,K09883	24.24	24.24	9.09	15.15	3.03	3.03	0	18.18	24.24	24.24	3.03	15.15
M00127	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00788,K00941,K03151	K00946,K03147,K03148,K03149,K03150,K03154	27.78	50	38.89	50	38.89	16.67	0	11.11	38.89	50	16.67	66.67
M00868	Heme biosynthesis, animals and fungi, glycine => heme	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00643,K01749	K00228,K00231,K01599,K01698,K01719,K01772	25	87.5	12.5	87.5	25	12.5	0	12.5	25	75	12.5	62.5
M00959	Guanine ribonucleotide degradation, GMP => Urate	Pathway modules; Nucleotide metabolism; Purine metabolism	K01081,K05810	K00087,K01487,K13479,K13480	50	75	50	75	25	50	0	50	50	75	25	83.33
M00895	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00788,K00941,K03151,K10810	K00946,K03147,K03148,K03149,K03153,K03154	44.44	61.11	41.67	61.11	33.33	27.78	0	8.33	41.67	72.22	16.67	61.11
M00126	Tetrahydrofolate biosynthesis, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01495,K11754	K00287,K01077,K13939	40	80	60	80	45	50	0	50	40	80	30	70
M00063	CMP-KDO biosynthesis	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	K06041	K00979,K01627,K03270	25	75	50	75	0	0	0	50	25	75	25	75
M00087	beta-Oxidation	Pathway modules; Lipid metabolism; Fatty acid metabolism	K00249	K00022,K00632,K01692	33.33	66.67	33.33	66.67	0	0	0	33.33	33.33	66.67	66.67	33.33
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00077,K00128	K00606,K01918,K13367	33.33	50	0	66.67	16.67	16.67	16.67	0	16.67	66.67	33.33	33.33
M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01092	K01106,K01107,K01109	25	25	25	25	25	0	25	0	25	25	25	25
M00158	F-type ATPase, eukaryotes	Pathway modules; Energy metabolism; ATP synthesis	K02132	K02125,K02126,K02127,K02128,K02129,K02130,K02133,K02134,K02135,K02136,K02137,K02138,K02140,K02141	6.67	13.33	13.33	13.33	0	0	6.67	0	13.33	13.33	6.67	13.33
M00150	Fumarate reductase, prokaryotes	Pathway modules; Energy metabolism; ATP synthesis	K00244	K00245,K00246,K00247	25	25	25	25	25	0	25	0	25	25	25	25
