module_accession	pathway_name	pathway_class	matching_ko	missing_ko	BCMy_011_trim_nohost	BCMy_021_trim_nohost	BCMy_031_trim_nohost	BCMy_041_trim_nohost	BCMy_071_trim_nohost	BCMy_081_trim_nohost	BCMy_091_trim_nohost	BCMy_121_trim_nohost	BCMy_131_trim_nohost	BCMy_151_trim_nohost	BCMy_181_trim_nohost	BCMy_211_trim_nohost
M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00849,K01784,K01785	K00965	75	100	100	100	75	25	100	50	100	100	0	100
M00873	Fatty acid biosynthesis in mitochondria, animals	Pathway modules; Lipid metabolism; Fatty acid metabolism	K09458	K00645,K03955,K07512,K11539,K13370,K18660,K22540	16.67	25	25	25	16.67	16.67	25	16.67	25	25	0	25
M00021	Cysteine biosynthesis, serine => cysteine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00640,K01738	K01738	0	100	100	100	0	0	50	100	50	100	0	100
M00926	Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01749	K00231,K00435,K01599,K01698,K01719,K01772,K01845,K02492	11.11	55.56	11.11	55.56	11.11	11.11	11.11	22.22	22.22	44.44	0	44.44
M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00052,K01703,K01704	K09011	0	66.67	16.67	66.67	50	0	33.33	66.67	33.33	66.67	0	66.67
M00153	Cytochrome bd ubiquinol oxidase	Pathway modules; Energy metabolism; ATP synthesis	K00426	K00424,K00425	33.33	66.67	33.33	66.67	33.33	33.33	33.33	0	33.33	66.67	0	66.67
M00700	Multidrug resistance, efflux pump AbcA	Signature modules; Gene set; Drug resistance	K18104	K18906	0	50	50	50	50	50	50	50	50	50	0	50
M00134	Polyamine biosynthesis, arginine => ornithine => putrescine	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	K01476	K27545	100	50	50	50	0	100	50	100	0	50	0	100
M00652	Vancomycin resistance, D-Ala-D-Ser type	Signature modules; Gene set; Drug resistance	K18349,K18350	K18348,K18856,K18866	0	40	40	40	20	0	0	0	40	40	0	40
M00023	Tryptophan biosynthesis, chorismate => tryptophan	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	K00766,K01657,K01658,K01695,K01696,K01817	K01656	0	83.33	33.33	100	58.33	16.67	25	66.67	58.33	100	0	83.33
M00079	Keratan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	K12373	K01132,K01137,K12309	0	25	25	25	0	25	25	0	25	25	0	25
M00020	Serine biosynthesis, glycerate-3P => serine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00058	K00831,K01079	33.33	100	33.33	100	33.33	0	0	66.67	33.33	100	0	66.67
M00956	Lysine degradation, bacteria, L-lysine => succinate	Pathway modules; Amino acid metabolism; Lysine metabolism	K00135	K00137,K01582,K07250,K09251,K15736,K15737	14.29	14.29	0	14.29	14.29	14.29	14.29	14.29	14.29	14.29	0	14.29
M00845	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K00145,K00821,K01940	K01438,K01755,K09065,K22478	42.86	57.14	0	57.14	42.86	28.57	14.29	42.86	28.57	57.14	0	71.43
M00125	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00793,K11752,K11753,K20861	K00794,K01497,K02858	44.44	88.89	77.78	100	22.22	22.22	77.78	11.11	22.22	100	0	100
M00144	NADH	Pathway modules; Energy metabolism; ATP synthesis	K00333,K00337	K00330,K00331,K00332,K00334,K00335,K00336,K00338,K00339,K00340,K00341,K00342,K00343	12.12	18.18	0	4.55	10.61	31.82	18.18	22.73	9.09	3.03	0	27.27
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	K00748,K03269	K00677,K00912,K02517,K02527,K02535,K02536,K09778	22.22	88.89	11.11	88.89	0	22.22	11.11	22.22	22.22	88.89	0	44.44
M00116	Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03183	K01661,K01911,K02548,K02549,K02551,K02552,K08680,K19222	0	11.11	0	11.11	22.22	0	11.11	22.22	0	11.11	0	11.11
M00027	GABA (gamma-Aminobutyrate) shunt	Pathway modules; Amino acid metabolism; Other amino acid metabolism	K00135	K01580,K13524	33.33	33.33	33.33	33.33	66.67	33.33	0	33.33	33.33	33.33	0	66.67
M00176	Assimilatory sulfate reduction, sulfate => H2S	Pathway modules; Energy metabolism; Sulfur metabolism	K00380,K00381,K00390,K00955,K00957	K00380,K00390,K00955	0	100	33.33	83.33	55.56	50	0	0	33.33	83.33	0	66.67
M00924	Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K05936	K00595,K02188,K02189,K02190,K02224,K02302,K03394,K05895,K05934,K06042	9.09	27.27	9.09	9.09	0	9.09	9.09	31.82	18.18	18.18	0	18.18
M00168	CAM (Crassulacean acid metabolism), dark	Pathway modules; Energy metabolism; Carbon fixation	K01595	K00025	50	50	0	50	50	50	50	0	50	50	0	50
M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01807	K08093,K08094	50	50	50	50	0	0	0	50	50	50	0	50
M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	K00748,K03269	K00677,K00912,K02517,K02527,K02535,K02536,K02560	22.22	88.89	11.11	88.89	0	22.22	11.11	22.22	22.22	88.89	0	44.44
M00053	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	Pathway modules; Nucleotide metabolism; Purine metabolism	K00525,K00526	K00940	50	100	50	100	0	50	0	25	50	100	0	50
