KO	BCMy_011_trim_nohost	BCMy_021_trim_nohost	BCMy_031_trim_nohost	BCMy_041_trim_nohost	BCMy_071_trim_nohost	BCMy_081_trim_nohost	BCMy_091_trim_nohost	BCMy_121_trim_nohost	BCMy_131_trim_nohost	BCMy_151_trim_nohost	BCMy_181_trim_nohost	BCMy_211_trim_nohost
K02970	0	24	5	35	0	0	0	0	129	12	0	2
K02982	4	61	17	187	0	0	2	0	771	71	0	49
K02985	0	0	1	0	0	0	0	0	0	0	0	0
K02986	1	71	9	116	0	4	0	0	465	39	0	39
K02988	0	55	11	119	1	2	0	3	582	41	2	26
K02990	0	30	4	62	2	0	0	0	257	22	0	23
K02992	3	28	19	139	1	1	2	0	524	66	0	27
K02994	0	51	11	108	0	0	0	0	399	22	0	31
K02996	0	55	24	117	0	0	0	0	459	48	0	20
K03006	0	0	0	1	0	0	0	0	0	0	0	0
K03018	0	0	0	8	0	0	0	0	19	3	0	2
K03040	4	85	34	198	2	0	1	3	953	81	0	94
K03043	17	381	76	832	11	3	8	11	3528	376	0	277
K03046	8	404	87	924	7	1	0	11	3716	320	2	246
K03048	1	44	4	67	1	0	0	0	280	41	1	28
K03060	0	27	4	50	2	0	0	0	95	3	0	12
K03070	5	241	55	524	3	3	6	3	2035	202	0	128
K03071	0	5	0	15	0	0	0	0	0	2	0	3
K03072	3	12	0	48	2	0	2	4	2	7	0	8
K03073	0	13	2	38	0	0	0	0	115	15	0	13
K03074	2	4	0	17	0	0	0	0	0	4	0	0
K03075	0	18	1	31	0	0	0	0	125	16	0	4
K03076	8	160	18	329	2	4	7	2	1146	129	1	78
K03077	0	51	19	132	2	0	0	0	582	61	0	48
K03079	2	4	2	0	0	2	0	0	0	0	0	0
K03086	4	76	28	208	0	1	0	1	752	79	2	61
K03088	3	44	11	77	2	1	2	2	298	34	0	19
K03089	0	5	0	22	0	0	0	2	0	4	0	2
K03091	1	31	8	69	2	0	0	2	242	20	0	12
K03092	4	97	8	210	1	2	0	0	660	79	1	44
K03095	1	24	7	46	0	0	0	0	217	21	0	14
K03100	0	63	9	102	2	4	2	0	317	57	0	26
K03101	0	26	6	70	1	2	1	0	177	41	1	22
K03106	9	136	45	284	0	0	0	2	1092	116	0	98
K03110	2	89	28	225	2	0	0	2	702	92	0	44
K03111	4	160	22	249	1	0	2	0	830	114	1	83
K03113	0	0	0	0	0	1	0	0	0	0	0	0
K03116	0	5	0	6	0	0	0	0	0	0	0	2
K03117	0	11	0	16	0	0	1	0	0	0	0	2
K03118	0	3	0	13	1	2	0	0	1	6	1	1
K03119	0	8	0	30	0	0	0	0	0	5	0	2
K03147	0	5	1	24	5	0	0	2	49	11	0	6
K03150	0	0	0	0	0	0	0	0	0	0	0	2
K03151	2	109	28	237	2	0	0	0	691	84	1	58
K03153	0	0	0	0	0	1	0	0	0	1	0	1
K03168	3	142	32	377	1	0	2	3	1235	134	0	96
K03169	0	118	40	375	4	0	3	7	1168	140	4	100
K03177	2	79	21	144	3	4	1	2	675	83	0	48
K03179	2	9	0	15	0	0	0	0	0	2	0	0
K03182	0	0	0	0	2	2	0	0	0	0	0	0
K03183	0	6	0	16	0	0	0	0	0	7	0	1
K03184	0	2	0	0	0	0	0	0	0	0	0	0
K03185	0	19	0	40	0	0	0	0	0	2	2	4
K03186	0	0	0	0	0	0	0	1	0	0	0	0
K03187	0	6	0	9	0	0	0	0	2	1	0	0
K03188	2	9	0	7	0	0	0	0	1	6	0	0
K03189	0	3	0	5	2	0	0	0	1	2	0	3
K03190	0	13	1	14	0	0	0	0	0	5	0	2
K03191	0	30	6	85	0	0	0	0	192	41	0	31
K03205	4	0	0	2	9	0	4	1	2	0	0	0
K03206	2	2	0	0	2	0	2	0	0	0	0	0
K03210	0	36	1	51	0	0	0	0	118	25	0	10
K03215	4	163	48	487	3	4	1	4	1400	145	5	139
K03216	4	16	16	59	1	0	0	0	171	25	0	15
K03217	4	173	41	309	0	0	2	2	883	104	0	64
K03218	3	92	14	210	0	3	2	0	675	67	0	38
K03231	0	1	0	0	0	0	0	0	0	0	0	0
K03269	2	0	0	0	0	0	0	0	0	0	0	0
K03272	0	15	0	25	0	2	0	0	0	5	4	3
K03273	0	0	0	0	0	0	0	2	0	0	0	0
K03274	0	6	2	32	0	0	0	0	0	2	0	2
K03281	6	90	28	257	2	2	2	0	588	128	0	57
K03282	0	47	9	79	0	0	0	1	163	22	0	24
K03283	0	0	0	1	0	0	0	0	1	0	0	0
K03284	0	56	21	143	4	0	0	0	505	61	0	39
K03292	1	709	169	1747	1	4	4	7	5841	606	3	422
K03293	1	17	3	70	0	0	1	0	3	24	1	4
K03294	8	60	4	137	4	0	0	0	2	30	3	12
K03296	2	17	1	30	4	7	2	5	0	5	1	5
K03297	0	9	3	45	0	0	0	0	84	18	0	9
K03298	0	0	0	2	0	0	0	0	0	0	0	0
K03299	0	0	0	0	2	0	0	4	0	0	0	0
K03300	0	0	0	0	0	0	0	0	0	0	0	4
K03303	2	9	0	16	0	2	0	0	0	6	0	0
K03305	0	157	39	240	0	0	0	2	965	117	0	79
K03306	1	0	0	0	2	0	0	1	0	0	0	1
K03307	0	0	0	0	0	0	2	2	0	2	0	0
K03308	0	0	0	0	6	0	4	5	5	0	0	0
K03310	0	0	0	0	2	1	1	4	0	0	0	2
K03311	3	252	72	736	6	0	2	0	2166	290	3	213
K03312	0	0	0	0	2	0	0	4	0	0	0	0
K03313	0	9	0	36	1	2	0	0	0	2	0	5
K03315	0	101	21	215	0	0	1	0	807	90	0	66
K03316	3	117	32	297	0	3	0	4	982	137	1	77
K03317	1	6	6	34	0	0	0	0	85	11	0	14
K03319	8	4	0	2	0	0	0	0	0	0	0	0
K03320	0	4	0	34	3	0	1	0	2	4	0	5
K03321	2	17	0	55	2	4	0	0	0	16	0	8
K03322	0	258	63	618	4	6	0	0	2099	211	5	139
K03324	0	1	0	0	4	0	6	0	0	0	0	0
K03325	0	0	0	0	1	0	0	0	0	0	0	0
K03326	2	0	0	0	0	0	0	0	0	0	1	0
K03327	2	20	0	35	0	2	0	0	2	7	0	7
K03328	1	167	55	449	2	2	2	2	1480	164	2	128
K03332	0	31	3	101	0	0	2	0	2	31	0	2
K03333	1	0	0	0	0	0	0	0	0	0	0	0
K03335	1	0	0	0	0	0	0	0	0	0	2	0
K03338	0	0	0	1	0	0	0	0	1	0	0	0
K03339	0	80	31	150	0	0	0	0	527	47	2	33
K03340	0	0	0	0	0	0	0	1	0	0	0	0
K03342	2	2	0	4	2	0	0	2	0	2	0	0
K03346	4	67	18	143	2	0	0	0	622	91	0	63
K03348	0	1	0	0	0	0	0	0	0	0	0	0
K03351	0	0	0	0	0	0	0	0	1	0	0	0
K03367	5	103	25	233	0	0	2	1	851	69	0	65
K03385	0	0	0	0	0	0	0	0	0	0	0	2
K03386	0	45	14	100	0	1	1	0	305	34	0	29
K03387	0	15	2	43	0	1	0	0	5	11	0	4
K03388	0	0	0	0	0	2	0	1	0	0	0	0
K03389	0	0	0	0	0	0	0	1	0	0	0	0
K03390	0	0	0	0	0	0	0	0	0	0	0	1
K03394	0	0	0	0	0	0	0	0	2	0	0	0
K03402	0	38	11	74	0	1	0	0	397	34	2	31
K03403	0	0	0	0	1	0	0	0	0	0	0	0
K03404	6	0	0	0	0	0	0	0	0	0	0	0
K03405	3	0	0	0	0	0	0	0	0	0	0	0
K03406	4	58	0	60	0	6	0	1	70	23	0	8
K03407	0	22	3	48	2	2	0	0	0	7	0	2
K03408	0	8	0	14	0	0	0	0	0	3	0	0
K03411	0	4	0	5	0	0	0	0	0	0	0	3
K03412	2	4	0	28	0	0	0	0	3	3	0	3
K03413	0	13	0	11	0	0	0	0	3	8	0	0
K03415	0	0	0	0	2	0	0	0	0	0	0	0
K03424	7	66	18	194	1	2	0	0	514	59	2	34
K03426	0	0	0	0	2	0	0	0	0	2	0	0
K03427	1	81	4	175	2	0	0	4	55	31	0	14
K03429	2	0	0	0	0	0	0	0	0	0	0	0
K03431	3	126	25	297	9	0	0	7	974	144	0	58
K03435	0	0	2	0	0	0	0	0	0	0	0	0
K03436	1	84	26	204	3	0	0	0	734	69	0	56
K03437	1	67	8	126	0	2	3	0	511	39	1	42
K03438	1	90	26	152	0	2	0	3	680	73	4	44
K03439	1	46	5	149	0	0	0	0	302	39	2	21
K03444	0	0	0	0	0	0	0	2	0	0	0	0
K03446	2	36	4	62	0	4	0	1	4	10	1	1
K03449	2	0	0	0	0	0	0	0	0	0	0	0
K03455	2	1	2	0	2	2	0	0	0	3	0	3
K03457	0	31	0	66	0	0	0	0	0	27	0	2
K03458	3	72	32	216	4	4	0	2	695	82	0	61
K03465	0	7	0	21	0	0	0	3	0	2	1	2
K03466	9	699	124	1597	5	6	4	6	5819	698	8	419
K03469	7	4	0	6	1	0	0	0	0	5	0	0
K03470	0	56	26	121	1	0	0	0	454	44	2	41
K03471	0	49	9	120	0	0	0	0	404	50	0	39
K03472	0	1	0	0	0	0	0	0	3	0	0	0
K03474	0	5	0	23	0	0	0	0	0	4	0	0
K03475	6	81	32	220	2	0	1	1	772	74	2	56
K03476	0	0	1	0	0	0	0	0	0	0	0	0
K03477	0	1	1	1	0	0	0	0	6	0	0	0
K03478	1	8	2	15	0	0	0	2	0	2	0	2
K03480	0	0	0	0	0	0	1	0	0	0	0	0
K03481	0	2	0	0	0	2	0	2	0	0	0	0
K03483	3	73	21	121	0	4	0	0	674	77	1	47
K03484	1	6	0	9	0	0	1	0	19	7	4	3
