L1	ID	Function	EC	Count
DNA, RNA and nucleotide metabolism	phrog_4715	ParB-like partition protein		2
moron, auxiliary metabolic gene and host takeover	phrog_487	NrdD-like anaerobic ribonucleotide reductase large subunit		24
other	phrog_4871	ATP-dependent protease		110
DNA, RNA and nucleotide metabolism	phrog_4880	replisome organizer		10
head and packaging	phrog_4914	terminase large subunit		10
other	phrog_4941	dehydrogenase		15
moron, auxiliary metabolic gene and host takeover	phrog_4980	superinfection exclusion		15
head and packaging	phrog_51	terminase small subunit		6
DNA, RNA and nucleotide metabolism	phrog_543	DNA topoisomerase II large subunit		3
DNA, RNA and nucleotide metabolism	phrog_551	DNA topoisomerase II		2
unknown function	phrog_5517	hypothetical		3
tail	phrog_5555	tail protein		1
unknown function	phrog_5620	hypothetical		35
other	phrog_5725	chaperonin groEL		14
DNA, RNA and nucleotide metabolism	phrog_5846	clamp loader of DNA polymerase		5
other	phrog_592	thymidine kinase		2
DNA, RNA and nucleotide metabolism	phrog_5968	replisome organizer		3
head and packaging	phrog_6042	minor head protein		3
DNA, RNA and nucleotide metabolism	phrog_6132	ribonucleotide reductase large subunit		5
tail	phrog_6183	minor tail protein		12
DNA, RNA and nucleotide metabolism	phrog_62	DNA helicase		2
DNA, RNA and nucleotide metabolism	phrog_6397	ribonucleotide reductase large subunit		3
head and packaging	phrog_64	portal protein		2
DNA, RNA and nucleotide metabolism	phrog_6444	DNA primase		6
unknown function	phrog_6566	hypothetical		1
head and packaging	phrog_6672	terminase large subunit		42
unknown function	phrog_6731	hypothetical		1
unknown function	phrog_6791	hypothetical		22
unknown function	phrog_6797	hypothetical		2
head and packaging	phrog_684	virion structural protein		1
other	phrog_6880	translation elongation factor		46
unknown function	phrog_6907	hypothetical		8
DNA, RNA and nucleotide metabolism	phrog_713	DNA replication initiation		1
other	phrog_729	cold shock protein		8
unknown function	phrog_7298	hypothetical		7
unknown function	phrog_731	hypothetical		15
other	phrog_7320	tetrahydrofolate dehydrogenase and cyclohydrolase		12
lysis	phrog_7348	endolysin		29
tail	phrog_7389	tail fiber protein		61
unknown function	phrog_7602	hypothetical		14
integration and excision	phrog_7685	integrase		9
DNA, RNA and nucleotide metabolism	phrog_7778	single strand DNA binding protein		16
DNA, RNA and nucleotide metabolism	phrog_7909	ribonucleoside-diphosphate reductase beta subunit		8
transcription regulation	phrog_8	transcriptional regulator		4
head and packaging	phrog_80	head maturation protease		4
DNA, RNA and nucleotide metabolism	phrog_8097	exonuclease		24
moron, auxiliary metabolic gene and host takeover	phrog_841	GtrB-like O-antigen conversion		2
moron, auxiliary metabolic gene and host takeover	phrog_8429	NifU-like Fe-S cluster assembly protein		2
unknown function	phrog_8439	hypothetical		39
unknown function	phrog_857	hypothetical		2
DNA, RNA and nucleotide metabolism	phrog_864	DNA primase		11
unknown function	phrog_8735	hypothetical		3
unknown function	phrog_8741	hypothetical		1
lysis	phrog_881	holin		12
unknown function	phrog_8986	hypothetical		11
moron, auxiliary metabolic gene and host takeover	phrog_9240	cyanobacterial phosphoribosylglycinamide formyltransferase		1
DNA, RNA and nucleotide metabolism	phrog_9270	tyrosyl-tRNA synthetase		20
head and packaging	phrog_94	head maturation protease		2
unknown function	phrog_9408	hypothetical		20
transcription regulation	phrog_9438	anti-repressor		18
DNA, RNA and nucleotide metabolism	phrog_9454	exonuclease		8
other	phrog_9582	dehydrogenase		25
unknown function	phrog_9625	hypothetical		23
other	phrog_97	UvsX-like recombinase		4
other	phrog_9787	translation initiation factor		3
other	phrog_9896	phosphofructokinase		18
other	phrog_9968	methyltransferase		26
DNA, RNA and nucleotide metabolism	phrog_997	replication terminator		16
lysis	phrog_998	endolysin		9
