ID	Function	Source	Count
MG423	RNase J family beta-CASP ribonuclease	TIGR00649	11
MGSA	methylglyoxal synthase	TIGR00160	7
MMSDH	CoA-acylating methylmalonate-semialdehyde dehydrogenase	TIGR01722	2
MTHFS_bact	5-formyltetrahydrofolate cyclo-ligase	TIGR02727	2
MsbA_lipidA	lipid A export permease/ATP-binding protein MsbA	TIGR02203	20
MsbA_rel	ABC transporter, permease/ATP-binding protein	TIGR02204	13
NHLM_micro_ABC1	NHLP family bacteriocin export ABC transporter peptidase/permease/ATPase subunit	TIGR03796	1
NusA	transcription termination factor NusA	TIGR01953	4
NusG_myco	transcription termination/antitermination protein NusG	TIGR01956	4
OMP_RagA_SusC	SusC/RagA family TonB-linked outer membrane protein	TIGR04056	1
Obg_CgtA_exten	Obg family GTPase CgtA	TIGR03595	2
PDH_E1_alph_x	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	TIGR03181	26
PD_CobS	cobaltochelatase subunit CobS	TIGR01650	1
PFKA_ATP	6-phosphofructokinase	TIGR02482	6
PFL2-3	formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme	TIGR01774	12
PFLA	pyruvate formate-lyase-activating protein	TIGR02493	2
PFLE_PFLC	glycyl-radical enzyme activating protein	TIGR02494	3
PNPH	purine nucleoside phosphorylase I, inosine and guanosine-specific	TIGR01700	10
PQQ_ABC_ATP	ABC transporter, ATP-binding subunit, PQQ-dependent alcohol dehydrogenase system	TIGR03864	1
PQQ_membr_DH	membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family	TIGR03074	2
PQQ_syn_pqqE	pyrroloquinoline quinone biosynthesis protein PqqE	TIGR02109	1
PRK00006.1	3-hydroxyacyl-ACP dehydratase FabZ	PRK00006	10
PRK00010.1	50S ribosomal protein L5	PRK00010	21
PRK00011.1	serine hydroxymethyltransferase	PRK00011	22
PRK00013.1	chaperonin GroEL	PRK00013	28
PRK00015.1-1	ribonuclease HII	PRK00015	16
PRK00024.1	DNA repair protein RadC	PRK00024	3
PRK00026.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD	PRK00026	12
PRK00049.1	elongation factor Tu	PRK00049	19
PRK00054.1-2	dihydroorotate dehydrogenase electron transfer subunit	PRK00054	1
PRK00054.1-4	dihydroorotate dehydrogenase electron transfer subunit	PRK00054	7
PRK00064.1-3	DNA replication/repair protein RecF	PRK00064	7
