L1	L2	L3	ID	Function	EC	Gene	Count
Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K19082	Two-component system, OmpR family, response regulator protein BraR/BceR		braR, bceR	2
Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K19083	Bacitracin transport system ATP-binding protein		braD, bceA	2
Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K19083	Bacitracin transport system ATP-binding protein		braD, bceA	2
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K19083	Bacitracin transport system ATP-binding protein		braD, bceA	2
Brite Hierarchies	Protein families: metabolism	Peptidases and inhibitors [BR:ko01002]	K19223	Peptidoglycan DL-endopeptidase LytF	3.4.-.-	lytF, cwlE	1
Brite Hierarchies	Protein families: metabolism	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	K19223	Peptidoglycan DL-endopeptidase LytF	3.4.-.-	lytF, cwlE	1
Brite Hierarchies	Protein families: metabolism	Peptidases and inhibitors [BR:ko01002]	K19225	Rhomboid protease GluP	3.4.21.105	gluP	2
Brite Hierarchies	Protein families: metabolism	Glycosyltransferases [BR:ko01003]	K19425	Glycosyltransferase EpsH	2.4.-.-	epsH	5
Brite Hierarchies	Protein families: genetic information processing	Transcription factors [BR:ko03000]	K19505	Sigma-54 dependent transcriptional regulator, gfr operon transcriptional activator		gfrR	11
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS) [PATH:ko02060]	K19506	Fructoselysine/glucoselysine PTS system EIIA component	2.7.1.-	gfrA	3
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K19506	Fructoselysine/glucoselysine PTS system EIIA component	2.7.1.-	gfrA	3
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS) [PATH:ko02060]	K19507	Fructoselysine/glucoselysine PTS system EIIB component	2.7.1.-	gfrB	3
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K19507	Fructoselysine/glucoselysine PTS system EIIB component	2.7.1.-	gfrB	3
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS) [PATH:ko02060]	K19508	Fructoselysine/glucoselysine PTS system EIIC component		gfrC	16
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K19508	Fructoselysine/glucoselysine PTS system EIIC component		gfrC	16
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS) [PATH:ko02060]	K19509	Fructoselysine/glucoselysine PTS system EIID component		gfrD	7
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K19509	Fructoselysine/glucoselysine PTS system EIID component		gfrD	7
