L1	L2	L3	L4	ID	Function	EC	Count
07_Nucleic acid metabolism	Pyrimidine metabolism			K00526	E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain	1.17.4.1	2
07_Nucleic acid metabolism	Purine metabolism			K00526	E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain	1.17.4.1	2
07_Nucleic acid metabolism	Pyrimidine metabolism			K00527	rtpR; ribonucleoside-triphosphate reductase (thioredoxin)	1.17.4.2	3
07_Nucleic acid metabolism	Purine metabolism			K00527	rtpR; ribonucleoside-triphosphate reductase (thioredoxin)	1.17.4.2	3
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K00549	metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	2.1.1.14	13
06_Amino acid utilization biosynthesis metabolism	Methionine biosynthesis			K00549	metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	2.1.1.14	13
07_Nucleic acid metabolism	Pyrimidine metabolism			K00560	thyA, TYMS; thymidylate synthase	2.1.1.45	30
21_Cellular response to stress	Cellular response to stress			K00567	ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase	2.1.1.63	13
21_Cellular response to stress	Response to nitrosative stress			K00567	ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase	2.1.1.63	13
02_Homoacetogenesis	Reductive acetyl coenzyme A pathway			K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase	2.1.1.222 2.1.1.64	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase	2.1.1.222 2.1.1.64	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to lactate		K00600	glyA, SHMT; glycine hydroxymethyltransferase	2.1.2.1	42
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00600	glyA, SHMT; glycine hydroxymethyltransferase	2.1.2.1	42
15_Methylotrophy	Serine pathway for formaldehyde fixation			K00600	glyA, SHMT; glycine hydroxymethyltransferase	2.1.2.1	42
07_Nucleic acid metabolism	Purine metabolism			K00602	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase	2.1.2.3 3.5.4.10	78
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00605	gcvT, AMT; aminomethyltransferase	2.1.2.10	2
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00609	pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit	2.1.3.2	9
07_Nucleic acid metabolism	Pyrimidine metabolism			K00609	pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit	2.1.3.2	9
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00611	OTC, argF, argI; ornithine carbamoyltransferase	2.1.3.3	31
01_Fermentation	Acetoin biosynthesis	(R)-acetoin biosynthesis I		K00615	E2.2.1.1, tktA, tktB; transketolase	2.2.1.1	44
01_Fermentation	Acetoin biosynthesis	(s)-acetoin biosynthesis		K00615	E2.2.1.1, tktA, tktB; transketolase	2.2.1.1	44
01_Fermentation	Acetoin biosynthesis	Meso-butanediol biosynthesis II		K00615	E2.2.1.1, tktA, tktB; transketolase	2.2.1.1	44
01_Fermentation	Acetoin biosynthesis	Superpathway of (R,R)-butanediol biosynthesis		K00615	E2.2.1.1, tktA, tktB; transketolase	2.2.1.1	44
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00620	argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase	2.3.1.35 2.3.1.1	1
