ASV	BCMy_011	BCMy_021	BCMy_031	BCMy_041	BCMy_051	BCMy_061	BCMy_071	BCMy_081	BCMy_091	BCMy_101	BCMy_111	BCMy_121	BCMy_131	BCMy_141	BCMy_151	BCMy_161	BCMy_171	BCMy_181	BCMy_191	BCMy_201	BCMy_211	BCMy_221	BCMy_231	BCMy_241	BCMy_251	BCMy_261	BCMy_271	BCMy_281	BCMy_291	BCMy_301
zotu_194;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_flavescens	0	0	0	1	0	1	0	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu_195;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Bombilactobacillus;s__Bombilactobacillus_mellifer	1	1	8	4	278	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	2	1	1	0	0	1	1
zotu_197;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Bombilactobacillus;s__Bombilactobacillus_mellis	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	310	0	0	0	1	0	0
zotu_201;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pseudescherichia;s__Pseudescherichia_vulneris	1	0	0	0	0	0	1	179	0	1	0	0	0	0	0	0	67	0	1	1	1	0	0	0	5	0	0	0	0	0
zotu_206;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_mohensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0
zotu_213;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_kimbladii	0	1	2	1	0	3	1	0	0	2	0	0	0	2	0	303	1	0	5	6	2	0	4	0	0	0	2	3	1	1
zotu_215;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Bombilactobacillus;s__Bombilactobacillus_mellis	0	1	1	6	0	3	1	0	0	0	1	0	0	1	1	223	0	0	0	4	1	0	7	2	0	0	1	0	0	1
zotu_222;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Orbales;f__Orbaceae;g__Gilliamella;s__Gilliamella_apicola	0	0	1	1	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	1	1	0	0	1	0
zotu_223;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae;g__Obesumbacterium;s__Obesumbacterium_proteus	0	0	0	1	0	1	1	0	1	0	0	0	0	3	0	0	0	1	0	1	0	0	1	213	0	0	0	0	0	0
zotu_225;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_corticis	0	1	0	1	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
