feature	metadata	value	coef	stderr	pval	qval	N	N.not.zero	module	class
M00094	disease_status	Healthy	-0.6228926640476022	0.38013345249553876	0.1323320696130226	0.30952246790842575	12	6	M00094: Ceramide biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism
M00095	disease_status	Healthy	-0.28964040353520837	0.28659469931167664	0.3360229176812938	0.5520376504764112	12	11	M00095: C5 isoprenoid biosynthesis, mevalonate pathway	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis
M00096	disease_status	Healthy	0.23197680735232676	0.290406853922124	0.4429650065514462	0.6174663727686827	12	6	M00096: C5 isoprenoid biosynthesis, non-mevalonate pathway	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis
M00097	disease_status	Healthy	0.3100005066608364	0.3638938739759723	0.41420654579122806	0.5954219095748904	12	3	M00097: beta-Carotene biosynthesis, GGAP => beta-carotene	Pathway modules; Biosynthesis of terpenoids and polyketides; Plant terpenoid biosynthesis
M00099	disease_status	Healthy	-0.5781630441962275	0.37516148080208644	0.15431656656222453	0.3462713200908453	12	6	M00099: Sphingosine biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism
M00101	disease_status	Healthy	0.592362460531002	0.3216518765546244	0.09534441023098059	0.2631505722375064	12	6	M00101: Cholesterol biosynthesis, FPP => cholesterol	Pathway modules; Lipid metabolism; Sterol biosynthesis
M00102	disease_status	Healthy	0.6220714453049186	0.32257846158120795	0.08264818194631056	0.2327642675222624	12	6	M00102: Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol	Pathway modules; Lipid metabolism; Sterol biosynthesis
M00114	disease_status	Healthy	-0.7916160635252635	0.3076174669371716	0.027729516651398906	0.11850877982852231	12	7	M00114: Ascorbate biosynthesis, plants, fructose-6P => ascorbate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
M00115	disease_status	Healthy	-0.3523799899090696	0.30638585408647034	0.2768563397926295	0.49618408949847886	12	11	M00115: NAD biosynthesis, aspartate => quinolinate => NAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
M00116	disease_status	Healthy	0.456646639872783	0.40444568193779834	0.28522613153801807	0.5046308481057242	12	7	M00116: Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
