sv	domain	phylum	class	order	family	genus	species	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.Diseased	rab.win.Healthy	diff.btw	diff.win	effect	overlap	labels	sv_species
s__Brevundimonas_uncl								0.7787689066036926	0.9972364024794254	0.5419712513469664	0.916363445306409	-2.4452858592454385	-2.0181022386413527	-3.01641429253789	-0.6630090189513949	6.01229891756277	-0.10003849416962635	0.44951923690893475	s__Brevundimonas_uncl	s__Brevundimonas_uncl___
s__Lactobacillus_kimbladii								0.4307512905348959	0.9951903442678142	0.3108118289696004	0.8414977952827662	0.4871946849918025	0.7702518860474967	-0.2785489706418476	-0.9834239703769345	3.697837076924327	-0.221329593389856	0.3750000160513134	s__Lactobacillus_kimbladii	s__Lactobacillus_kimbladii___
s__Pseudomonas_lutea								0.7001783276515197	0.9933600404657866	0.5449415408210682	0.8981582756048727	-2.7150597438359796	-2.34883773953341	-3.161567939453202	-0.8528375299910342	4.729699582416947	-0.14861578974637557	0.43149039302070885	s__Pseudomonas_lutea	s__Pseudomonas_lutea___
s__Pseudomonas_hibiscicola								0.8056313363582609	0.992421180850115	0.6879139489883296	0.9473484166865898	-2.3700088216366932	-2.151677199176209	-2.6575428689137937	-0.351827047135302	4.936056209105233	-0.059809113076195256	0.46394231205580105	s__Pseudomonas_hibiscicola	s__Pseudomonas_hibiscicola___
s__Paracoccus_laeviglucosivorans								0.6962672482882398	0.9991886106707858	0.465270792052804	0.8674634850187555	-2.3582553036988934	-1.8375381717363357	-3.064894561455483	-0.9955689474660074	4.921561812200538	-0.16603972823318078	0.40936375675308256	s__Paracoccus_laeviglucosivorans	s__Paracoccus_laeviglucosivorans___
s__Pseudomonas_flavescens								0.6510920940764875	0.980108453881436	0.4303099401896796	0.8197360507765169	-2.8855557310820146	-2.2189580257615145	-3.724565942727339	-1.1089255596369743	5.103629016789202	-0.1865225973648108	0.4050480887815066	s__Pseudomonas_flavescens	s__Pseudomonas_flavescens___
s__Serratia_marcescens								0.6211156550607346	0.9814520641475085	0.47277016384247306	0.8584939763868509	-2.8235344742945454	-2.380530072228307	-3.4547878472922315	-1.0284465940326282	4.83402591623459	-0.17950951976233837	0.40816327672041813	s__Serratia_marcescens	s__Serratia_marcescens___
s__Enterococcus_cecorum								0.6511577169014592	0.9961639052503294	0.4202259422711368	0.847065650258031	-2.1876019763924344	-1.55523969589661	-3.1949655875445915	-1.1653765996500676	5.448606080117429	-0.19304622373330427	0.40096039653365595	s__Enterococcus_cecorum	s__Enterococcus_cecorum___
s__Sphingomonas_mohensis								0.5951551204107951	0.9732810473408331	0.7423492163431651	0.9824353493287817	-2.7691831911614297	-2.6900537043881947	-2.8879171766572362	0.15563587207124296	5.319353347359003	0.024309788689045965	0.4879807706785393	s__Sphingomonas_mohensis	s__Sphingomonas_mohensis___
s__Snodgrassella_alvi								0.3937719809068375	0.9828152247306849	0.2147483771689761	0.7273857616228018	-1.0986059683838079	-0.3172381076884232	-2.2738866859887548	-1.8077317131652828	5.006565414746919	-0.30500846848643726	0.3425480979644586	s__Snodgrassella_alvi	s__Snodgrassella_alvi___
s__Frischella_perrara								0.6479079586940049	0.9998554703015737	0.47704265387669575	0.887396507400076	-1.7765847122115757	-1.1918068711942666	-2.6312925476664573	-1.069262741169771	5.160334886914766	-0.17005189561648476	0.4141656768878795	s__Frischella_perrara	s__Frischella_perrara___
s__Rhabdaerophilum_uncl								0.7811848130572812	1	0.6225251234553985	0.9057266877393875	-2.9853661202445867	-2.6320232857593293	-3.443177818510664	-0.7314417645198654	5.334235935519407	-0.11287101120569179	0.44471154519982303	s__Rhabdaerophilum_uncl	s__Rhabdaerophilum_uncl___
s__Bombilactobacillus_mellifer								0.5926710089887871	0.9940477513909802	0.35155795848942695	0.8271322347203738	-1.5002417009467033	-0.9393696639157927	-2.135294767930495	-1.2778923268220552	4.399989921427479	-0.238043900366495	0.3721488759723862	s__Bombilactobacillus_mellifer	s__Bombilactobacillus_mellifer___
s__Obesumbacterium_proteus								0.5872342494102261	0.9926399637601719	0.425019280381739	0.8750860452311058	-2.079887299308899	-1.6013494788992695	-2.763777599180277	-1.07352724687237	4.7395895484329245	-0.18664797604391434	0.4045618366250183	s__Obesumbacterium_proteus	s__Obesumbacterium_proteus___
s__Gilliamella_mensalis								0.6277047938578275	0.9692499222803918	0.4795771473859979	0.8210983160645585	-2.8305715465926395	-2.4071221170720296	-3.484862288568892	-0.9344918548984218	4.617982115191279	-0.17785517587698552	0.4141656768878795	s__Gilliamella_mensalis	s__Gilliamella_mensalis___
s__Amorphus_uncl								0.5831701670246294	0.9757723917059008	0.43924369595173174	0.8415341591247395	-2.780097411589006	-2.224899857436851	-3.4279903656146695	-1.1609719179091469	5.012482639694846	-0.17476520199876083	0.3949579963908826	s__Amorphus_uncl	s__Amorphus_uncl___
s__Neisseria_elongata								0.6775748102984571	0.995926780337078	0.4755763363358004	0.8280553477665333	-2.8959394698881553	-2.4469323536698067	-3.558148519271805	-0.8976776024365574	5.118011473479137	-0.1468594878730183	0.41056423678616744	s__Neisseria_elongata	s__Neisseria_elongata___
s__Citrobacter_tructae								0.6745158554470201	0.99416323146764	0.5190441676091778	0.8989016321023416	-2.402735124956955	-2.015225337743427	-2.947515479470721	-0.9944635306512133	4.90573686678946	-0.1621310337188413	0.41296519685357275	s__Citrobacter_tructae	s__Citrobacter_tructae___
s__Devosia_submarina								0.7982975251970545	0.9928932236505165	0.6709432043846497	0.9387604115171134	-2.685222303958204	-2.4212290863498627	-3.0024368384238747	-0.4341364121143876	4.968180706299391	-0.07099205996422628	0.45858343838167687	s__Devosia_submarina	s__Devosia_submarina___
s__Phenylobacterium_koreense								0.7480458609836145	0.9919477840508262	0.6522062194936367	0.9343584171581055	-2.927609120240257	-2.6554189472021914	-3.317546338788663	-0.4184396192833626	4.867923549322081	-0.0765229835437727	0.46033654326665624	s__Phenylobacterium_koreense	s__Phenylobacterium_koreense___
s__Burkholderiales_uncl								0.792977275713019	0.998617566953775	0.6691044251788058	0.9501246579172218	-2.919878325447085	-2.5833434538242415	-3.334760115841293	-0.5454542255088333	5.290096713866002	-0.09240269384691771	0.45858343838167687	s__Burkholderiales_uncl	s__Burkholderiales_uncl___
s__Acetobacteraceae_uncl								0.30515409903902296	0.9249046782508585	0.14495321600895458	0.5713814857696463	-0.7659996211323774	0.17179220311580146	-1.9357836480501156	-1.895315996568633	4.087401329276808	-0.40434872442605074	0.30048079779879183	s__Acetobacteraceae_uncl	s__Acetobacteraceae_uncl___
s__Methylothermalis_uncl								0.6350110749836413	0.9860668963485636	0.4533582066788243	0.8597304901679781	-3.129118738743685	-2.6087100184786385	-3.729979717784264	-1.0564504651389752	5.100149221688466	-0.16207293759556685	0.39663462838379604	s__Methylothermalis_uncl	s__Methylothermalis_uncl___
